period,account_code,account_name,debit,credit,cost_center,business_unit,currency,posting_ref,doc_type
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-001,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-001,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8801,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8801,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-001,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-001,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-001,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-001,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-001,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-001,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-001,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-001,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-001,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-001,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-001,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-001,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-001,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-001,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-001,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-001,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-002,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-002,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8802,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8802,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-002,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-002,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-002,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-002,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-002,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-002,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-002,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-002,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-002,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-002,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-002,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-002,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-002,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-002,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-002,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-002,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-003,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-003,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8803,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8803,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-003,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-003,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-003,PAYROLL
